"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Shane Bieber","Indians","8","1","0","12","12","77.1","14.20","2.44","0.81",".267","91.1%","48.4%","15.2%","89.3","1.63","2.07","2.04","3.2","19427"
"Yu Darvish","Cubs","8","3","0","12","12","76.0","11.01","1.66","0.59",".295","83.8%","43.2%","8.8%","88.7","2.01","2.23","2.82","3.0","13074"
"Jacob deGrom","Mets","4","2","0","12","12","68.0","13.76","2.38","0.93",".288","79.7%","42.5%","13.0%","88.2","2.38","2.26","2.46","2.6","10954"
"Trevor Bauer","Reds","5","4","0","11","11","73.0","12.33","2.10","1.11",".215","90.9%","34.4%","12.0%","88.5","1.73","2.88","3.25","2.5","12703"
"Dinelson Lamet","Padres","3","1","0","12","12","69.0","12.13","2.61","0.65",".234","80.4%","36.9%","7.9%","88.7","2.09","2.48","3.30","2.4","17186"
"Luis Castillo","Reds","4","6","0","12","12","70.0","11.44","3.09","0.64",".329","70.0%","58.4%","12.5%","86.0","3.21","2.65","2.82","2.4","15689"
"German Marquez","Rockies","4","6","0","13","13","81.2","8.04","2.76","0.66",".300","65.5%","50.6%","9.4%","88.8","3.75","3.28","3.83","2.3","15038"
"Zack Greinke","Astros","3","3","0","12","12","67.0","9.00","1.21","0.81",".321","68.5%","41.2%","9.2%","86.8","4.03","2.80","3.51","2.1","1943"
"Kenta Maeda","Twins","6","1","0","11","11","66.2","10.80","1.35","1.22",".208","80.2%","49.0%","18.8%","85.3","2.70","3.00","2.63","2.1","18498"
"Brandon Woodruff","Brewers","3","5","0","13","13","73.2","11.12","2.20","1.10",".269","79.2%","49.4%","14.1%","86.7","3.05","3.20","3.29","2.1","16162"
"Aaron Nola","Phillies","5","5","0","12","12","71.1","12.11","2.90","1.14",".283","72.3%","49.7%","19.6%","88.3","3.28","3.19","2.79","2.0","16149"
"Dylan Bundy","Angels","6","3","0","11","11","65.2","9.87","2.33","0.69",".272","69.2%","40.6%","8.2%","87.0","3.29","2.95","3.75","2.0","12917"
"Marco Gonzales","Mariners","7","2","0","11","11","69.2","8.27","0.90","1.03",".263","73.1%","37.6%","9.6%","86.4","3.10","3.32","4.13","2.0","15467"
"Lucas Giolito","White Sox","4","3","0","12","12","72.1","12.07","3.48","1.00",".255","69.9%","41.3%","13.3%","87.0","3.48","3.19","3.35","2.0","15474"
"Zack Wheeler","Phillies","4","2","0","11","11","71.0","6.72","2.03","0.38",".306","74.6%","55.9%","7.5%","85.8","2.92","3.22","3.76","2.0","10310"
"Hyun-Jin Ryu","Blue Jays","5","2","0","12","12","67.0","9.67","2.28","0.81",".302","80.5%","51.1%","11.8%","87.0","2.69","3.01","3.32","1.9","14444"
"Kyle Hendricks","Cubs","6","5","0","12","12","81.1","7.08","0.89","1.11",".272","82.4%","47.1%","13.0%","86.2","2.88","3.55","3.78","1.9","12049"
"Max Scherzer","Nationals","5","4","0","12","12","67.1","12.30","3.07","1.34",".355","80.0%","33.0%","14.3%","88.5","3.74","3.46","3.53","1.8","3137"
"Dallas Keuchel","White Sox","6","2","0","11","11","63.1","5.97","2.42","0.28",".255","81.6%","52.8%","4.7%","86.8","1.99","3.08","3.98","1.8","9434"
"Framber Valdez","Astros","5","3","0","10","10","64.1","9.51","2.10","0.70",".312","66.2%","60.3%","14.7%","91.2","3.92","3.02","3.03","1.8","17295"
"Lance Lynn","Rangers","6","3","0","13","13","84.0","9.54","2.68","1.39",".242","79.4%","36.0%","13.8%","88.6","3.32","4.19","4.34","1.5","2520"
"Carlos Carrasco","Indians","3","4","0","12","12","68.0","10.85","3.57","1.06",".292","85.2%","44.3%","14.3%","88.0","2.91","3.59","3.65","1.5","6632"
"Zac Gallen","Diamondbacks","3","2","0","12","12","72.0","10.25","3.13","1.13",".266","83.6%","45.6%","15.3%","87.0","2.75","3.66","3.62","1.5","19291"
"Gerrit Cole","Yankees","7","3","0","12","12","73.0","11.59","2.10","1.73",".242","85.9%","37.4%","18.7%","90.4","2.84","3.89","3.38","1.4","13125"
"Andrew Heaney","Angels","4","3","0","12","12","66.2","9.45","2.57","1.22",".302","68.6%","39.0%","12.3%","88.6","4.46","3.79","4.15","1.4","15423"
"Zach Davies","Padres","7","4","0","12","12","69.1","8.18","2.47","1.17",".249","78.2%","41.3%","12.9%","87.5","2.73","3.88","4.14","1.4","13183"
"Chris Bassitt","Athletics","5","2","0","11","11","63.0","7.86","2.43","0.86",".276","85.6%","43.8%","8.6%","88.2","2.29","3.59","4.49","1.3","12304"
"Patrick Corbin","Nationals","2","7","0","11","11","65.2","8.22","2.47","1.37",".362","76.4%","43.7%","15.2%","90.7","4.66","4.17","4.12","1.2","9323"
