year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Lynn, Lance,458681,Rangers,TEX,R,94.6,1858,3553,21.93209876543209876,0.52293836194764987,FF,4-Seamer,15.9,-15.4,-0.6,-4,6.1,-8,-1.8,-23,0.376744186046512,0.290697674418605
2019,Lopez, Reynaldo,625643,White Sox,CWS,R,95.4,1850,3163,19.64596273291925465,0.58488776478027189,FF,4-Seamer,15.2,-14.7,-0.5,-4,10,-7.6,2.5,33,0.4,0.776744186046512
2019,Cole, Gerrit,543037,Astros,HOU,R,97.1,1733,3362,20.75308641975308641,0.51546698393813206,FF,4-Seamer,10.9,-13.8,2.9,21,11.4,-7.8,3.6,45,0.976744186046512,0.883720930232558
2019,Verlander, Justin,434378,Astros,HOU,R,94.6,1617,3448,21.28395061728395061,0.46896751740139211,FF,4-Seamer,10.7,-13.7,3,22,10.1,-6.9,3.2,46,0.97906976744186,0.841860465116279
2019,Odorizzi, Jake,543606,Twins,MIN,R,92.9,1614,2787,17.20370370370370370,0.57911733046286329,FF,4-Seamer,15.5,-16.3,0.7,5,10.6,-7.4,3.2,43,0.674418604651163,0.841860465116279
2019,Paxton, James,572020,Yankees,NYY,L,95.4,1596,2665,16.45061728395061728,0.59887429643527204,FF,4-Seamer,14.7,-14.5,-0.2,-1,11.4,-7.5,3.9,52,0.474418604651163,0.9
2019,Giolito, Lucas,608337,White Sox,CWS,R,94.2,1548,2814,17.47826086956521739,0.55010660980810234,FF,4-Seamer,12.3,-14.2,1.9,13,7.6,-6.3,1.3,20,0.87906976744186,0.618604651162791
2019,deGrom, Jacob,594798,Mets,NYM,R,96.9,1536,3297,20.35185185185185185,0.46587807097361237,FF,4-Seamer,12.2,-13.5,1.4,10,5.7,-7.4,-1.8,-24,0.795348837209302,0.290697674418605
2019,Boyd, Matthew,571510,Tigers,DET,L,92.1,1509,3118,19.36645962732919254,0.48396407953816549,FF,4-Seamer,17.3,-16.8,-0.5,-3,10.2,-7.6,2.6,34,0.4,0.795348837209302
2019,Buehler, Walker,621111,Dodgers,LAD,R,96.5,1504,2838,17.51851851851851851,0.52995066948555320,FF,4-Seamer,11.7,-14.1,2.4,17,4.8,-7.8,-3,-38,0.941860465116279,0.176744186046512
2019,Minor, Mike,501985,Rangers,TEX,L,92.5,1497,3358,20.72839506172839506,0.44580107206670637,FF,4-Seamer,17,-16.6,-0.4,-3,4.1,-7.5,-3.3,-45,0.42093023255814,0.148837209302326
2019,Flaherty, Jack,656427,Cardinals,STL,R,94.3,1476,3179,19.62345679012345679,0.46429694872601446,FF,4-Seamer,15.8,-15.6,-0.2,-1,4.8,-7.9,-3.1,-39,0.474418604651163,0.172093023255814
2019,Bieber, Shane,669456,Indians,CLE,R,93.1,1474,3332,20.56790123456790123,0.44237695078031212,FF,4-Seamer,13.6,-16,2.4,15,8.3,-7.6,0.7,10,0.941860465116279,0.56046511627907
2019,Smith, Caleb,592761,Marlins,MIA,L,91.6,1431,2661,16.42592592592592592,0.53776775648252536,FF,4-Seamer,17.4,-17.2,-0.1,-1,14.6,-8.5,6.2,73,0.513953488372093,0.986046511627907
2019,Fried, Max,608331,Braves,ATL,L,93.8,1418,2670,16.48148148148148148,0.53108614232209737,FF,4-Seamer,18.9,-15.6,-3.3,-21,3.2,-7.4,-4.2,-56,0.0790697674418605,0.0837209302325581
2019,Bauer, Trevor,545333,Reds,CIN,R,94.5,1418,3687,22.75925925925925925,0.38459452129102251,FF,4-Seamer,13.6,-15.6,1.9,12,9.7,-8.1,1.5,19,0.87906976744186,0.648837209302326
2019,Paddack, Chris,663978,Padres,SD,R,93.9,1391,2280,14.07407407407407407,0.61008771929824561,FF,4-Seamer,12.6,-14.7,2,14,7.6,-6.7,0.9,13,0.890697674418605,0.574418604651163
2019,Bumgarner, Madison,518516,Giants,SF,L,91.4,1388,3244,20.02469135802469135,0.42786683107274969,FF,4-Seamer,17.1,-16.8,-0.3,-2,9.1,-7.1,2,29,0.446511627906977,0.718604651162791
2019,Senzatela, Antonio,622608,Rockies,COL,R,93.7,1385,2237,13.80864197530864197,0.61913276709879302,FF,4-Seamer,20,-15.5,-4.5,-29,5,-7.2,-2.3,-31,0.0348837209302326,0.230232558139535
2019,Sparkman, Glenn,642098,Royals,KC,R,93.4,1380,2275,14.04320987654320987,0.60659340659340659,FF,4-Seamer,17.1,-16.1,-1.1,-7,10.1,-7.9,2.3,29,0.297674418604651,0.758139534883721
2019,Means, John,607644,Orioles,BAL,L,91.7,1362,2681,16.54938271604938271,0.50801939574785527,FF,4-Seamer,13.3,-16.1,2.8,17,5.9,-6.2,-0.3,-5,0.969767441860465,0.448837209302326
2019,Scherzer, Max,453286,Nationals,WSH,R,94.9,1341,2770,17.09876543209876543,0.48411552346570397,FF,4-Seamer,16.7,-16.2,-0.5,-3,12.2,-9.1,3.1,35,0.4,0.827906976744186
2019,Lauer, Eric,641778,Padres,SD,L,91.8,1332,2510,15.49382716049382716,0.53067729083665338,FF,4-Seamer,16.1,-16.6,0.5,3,9.2,-6.8,2.4,35,0.632558139534884,0.769767441860465
2019,Velasquez, Vince,592826,Phillies,PHI,R,94.2,1324,2120,13.08641975308641975,0.62452830188679245,FF,4-Seamer,13.7,-15.4,1.7,11,4.1,-7.7,-3.6,-47,0.848837209302326,0.113953488372093
