"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"787",545333,"Trevor Bauer","1165","67.6","0.174","0.155","0.226","0.329","0.251","0.237","0.165","27","155","90.6","28.7","2817","91.0","91.26","97","352","430","0.3","6.46","115","153","121","154","294","319","292"
"531",669203,"Corbin Burnes","1010","52.6","0.202","0.064","0.301","0.266","0.261","0.309","0.228","22","109","88.2","4.4","2810","94.5","95.07","67","245","284","0.6","6.45","110","152","122","155","296","318","298"
"783",506433,"Yu Darvish","1153","67.9","0.239","0.117","0.328","0.356","0.272","0.268","0.238","43","180","88.3","13.0","2626","90.2","90.87","121","384","394","0.7","6.53","113","156","113","149","293","327","298"
"402",572070,"Garrett Richards","788","51.0","0.295","0.116","0.303","0.411","0.320","0.327","0.293","28","95","88.7","11.8","2614","95.1","94.90","25","184","218","-0.2","6.13","116","149","134","145","304","335","316"
"482",501985,"Mike Minor","979","49.2","0.227","0.103","0.270","0.330","0.291","0.322","0.241","22","97","89.5","20.5","2589","90.6","89.97","56","226","254","-0.6","5.88","110","153","116","149","302","323","293"
"519",656302,"Dylan Cease","1085","47.8","0.254","0.246","0.253","0.500","0.377","0.405","0.309","31","122","91.0","14.1","2521","97.5","97.09","43","250","266","-0.4","6.00","109","150","114","149","300","322","299"
"417",458676,"Josh Lindblom","793","52.6","0.282","0.212","0.351","0.494","0.373","0.333","0.256","24","85","88.7","22.4","2508","88.5","88.73","49","186","228","0.2","6.29","109","154","120","153","296","318","300"
"635",543037,"Gerrit Cole","1203","52.8","0.226","0.240","0.235","0.466","0.310","0.305","0.230","33","146","92.2","22.6","2505","96.7","96.95","83","321","314","0.3","6.57","114","151","122","150","294","322","288"
"676",453286,"Max Scherzer","1213","55.7","0.246","0.218","0.321","0.465","0.326","0.333","0.259","35","142","91.7","22.5","2489","94.0","93.92","103","360","311","-0.1","6.24","109","153","127","139","296","317","295"
"1265",458681,"Lance Lynn","1408","89.8","0.211","0.194","0.239","0.405","0.292","0.276","0.213","60","284","88.0","18.3","2486","92.5","92.54","163","650","610","0.0","6.38","111","157","113","150","299","321","294"
"487",659275,"Dinelson Lamet","1046","46.6","0.248","0.162","0.272","0.410","0.307","0.344","0.285","29","117","90.1","19.0","2484","97.0","96.58","35","228","257","-0.4","6.08","117","151","136","147","302","332","314"
"333",477132,"Clayton Kershaw","888","37.5","0.196","0.268","0.171","0.464","0.289","0.308","0.241","11","56","90.2","22.0","2484","91.6","91.43","26","136","196","-0.2","6.31","110","158","112","147","299","319","291"
"599",669160,"Dustin May","866","69.2","0.254","0.152","0.257","0.406","0.308","0.329","0.282","35","138","86.5","6.4","2479","96.5","96.79","45","286","311","0.3","6.51","112","160","117","150","295","321","293"
"455",628711,"Julio Urias","875","52.0","0.194","0.139","0.215","0.333","0.260","0.282","0.207","21","108","88.6","24.3","2478","94.2","93.33","57","233","222","-0.9","5.73","109","157","114","147","300","318","288"
"510",594798,"Jacob deGrom","1135","44.9","0.186","0.134","0.300","0.320","0.239","0.244","0.196","18","97","92.7","24.6","2477","98.6","99.81","95","257","251","1.2","6.96","114","148","123","143","295","318","295"
"503",543243,"Sonny Gray","968","52.0","0.179","0.145","0.246","0.325","0.272","0.268","0.186","21","117","87.8","5.1","2470","93.0","93.55","44","202","299","0.6","6.52","115","155","122","152","293","321","292"
"424",471911,"Carlos Carrasco","1101","38.5","0.267","0.200","0.326","0.467","0.362","0.341","0.254","16","60","92.1","17.2","2457","93.6","94.27","49","186","238","0.7","6.54","108","153","116","150","293","320","293"
"637",596133,"Luke Weaver","968","65.8","0.313","0.275","0.362","0.588","0.395","0.338","0.263","41","131","91.3","19.7","2448","93.0","92.44","61","290","344","-0.6","6.03","109","155","120","151","303","333","303"
"362",607536,"Kyle Freeland","1124","32.2","0.297","0.216","0.286","0.514","0.370","0.393","0.323","22","74","88.3","9.1","2438","92.0","92.84","16","129","231","0.8","6.59","112","152","116","146","304","330","304"
"627",571760,"Andrew Heaney","1085","57.8","0.267","0.214","0.311","0.481","0.345","0.335","0.255","35","131","90.5","21.3","2436","91.5","90.93","79","315","307","-0.6","6.06","109","150","116","147","308","323","291"
"635",605513,"Spencer Turnbull","963","65.9","0.254","0.092","0.317","0.346","0.319","0.360","0.285","33","130","90.0","8.9","2434","94.1","94.23","66","272","362","0.1","6.27","111","149","113","147","295","326","293"
"418",666200,"Jesus Luzardo","940","44.5","0.245","0.273","0.232","0.518","0.342","0.347","0.279","27","110","91.2","10.1","2421","95.4","93.82","28","178","237","-1.6","5.59","108","149","121","149","300","322","295"
"519",592662,"Robbie Ray","1064","48.8","0.266","0.339","0.274","0.606","0.439","0.422","0.274","29","109","90.9","23.6","2420","93.9","93.90","37","194","323","0.0","6.40","105","151","118","148","296","322","297"
"787",605540,"Brandon Woodruff","1211","65.0","0.211","0.117","0.292","0.328","0.268","0.257","0.194","38","180","88.4","17.2","2413","96.4","97.12","106","403","381","0.7","6.64","111","152","121","150","295","320","299"
"584",607192,"Tyler Glasnow","964","60.6","0.246","0.214","0.276","0.460","0.337","0.330","0.242","31","126","91.8","18.4","2409","96.9","97.64","73","303","278","0.7","7.65","110","152","115","146","299","321","293"
"664",669456,"Shane Bieber","1238","53.6","0.232","0.123","0.322","0.355","0.273","0.291","0.245","32","138","91.8","21.4","2407","92.7","93.39","88","307","357","0.7","6.59","106","153","116","150","294","317","291"
"427",605164,"Dylan Bundy","1018","41.9","0.266","0.174","0.313","0.440","0.326","0.309","0.254","29","109","87.4","23.6","2407","90.1","89.36","37","215","207","-0.7","5.83","113","152","114","149","308","322","299"
"438",605483,"Blake Snell","872","50.2","0.310","0.299","0.339","0.609","0.422","0.393","0.307","27","87","90.7","15.6","2404","95.0","96.24","50","214","222","1.2","7.13","106","157","114","149","300","319","292"
"434",641816,"Tyler Mahle","852","50.9","0.226","0.214","0.302","0.440","0.335","0.304","0.202","19","84","89.4","30.6","2389","93.9","94.37","66","203","229","0.5","6.62","113","153","119","153","292","320","295"
"722",650644,"Aaron Civale","1201","60.1","0.298","0.176","0.363","0.473","0.347","0.331","0.284","56","188","87.8","9.9","2383","89.7","89.73","63","312","406","0.0","6.10","106","153","116","150","293","319","291"
