"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"195",669203,"Corbin Burnes","887","22.0","0.479","0.625","0.467","1.104","0.645","0.570","0.417","23","48","94.3","13.7","2772","94.5","95.06","18","101","93","0.6","6.47","111","157","112","156","300","319","293"
"13",572703,"Luke Bard","794","1.6","0.000","0.000","0.000","0.000","0.000","0.024","0.015","0","1","94.9","45.0","2707","94.0","94.05","1","5","8","0.1","6.26","109","158","110","149","295","320","292"
"64",572070,"Garrett Richards","157","40.8","0.273","0.455","0.250","0.727","0.473","0.463","0.283","3","11","86.4","11.1","2673","94.9","94.27","4","22","42","-0.6","5.86","111","150","114","148","302","325","305"
"133",608371,"Lucas Sims","751","17.7","0.273","0.394","0.231","0.667","0.392","0.326","0.223","9","33","90.8","31.9","2652","93.2","92.28","17","73","60","-0.9","5.76","115","151","117","145","291","311","286"
"1497",501985,"Mike Minor","3357","44.6","0.252","0.184","0.279","0.435","0.318","0.325","0.246","78","310","88.2","20.1","2650","92.5","91.98","165","707","788","-0.5","5.86","105","152","111","147","293","322","298"
"20",600917,"Jose Leclerc","1275","1.6","0.200","0.000","0.250","0.200","0.260","0.289","0.218","1","5","86.5","0.5","2633","96.3","94.64","3","11","9","-1.7","5.29","108","156","112","150","286","318","299"
"19",613534,"Austin Adams","530","3.6","1.000","0.000","1.000","1.000","0.750","0.734","0.825","1","1","110.4","9.0","2591","94.7","93.56","0","3","16","-1.1","5.49","109","149","110","147","294","320","285"
"1617",434378,"Justin Verlander","3242","49.9","0.229","0.322","0.259","0.551","0.342","0.339","0.233","69","301","92.2","28.0","2577","94.6","93.61","260","836","777","-1.0","5.95","113","157","115","152","290","316","297"
"830",502188,"Jeff Samardzija","3001","27.7","0.174","0.228","0.167","0.403","0.289","0.356","0.231","26","149","92.4","25.5","2571","91.6","91.42","74","370","454","-0.2","6.13","111","154","115","150","296","327","302"
"1733",543037,"Gerrit Cole","3360","51.6","0.166","0.182","0.256","0.348","0.254","0.248","0.168","60","362","90.1","23.7","2530","97.1","96.84","344","915","813","-0.3","6.26","113","155","118","151","289","315","297"
"759",506433,"Yu Darvish","2848","26.7","0.272","0.324","0.286","0.596","0.395","0.395","0.275","37","136","91.5","20.8","2528","94.1","94.42","99","338","413","0.3","6.34","113","151","110","152","295","320","295"
"803",543243,"Sonny Gray","2807","28.6","0.319","0.227","0.349","0.546","0.409","0.398","0.285","45","141","90.5","17.6","2527","93.3","93.99","56","329","467","0.7","6.43","119","156","115","147","290","317","292"
"35",639373,"Gerson Bautista","197","17.8","0.500","0.000","0.571","0.500","0.505","0.537","0.508","4","8","92.2","12.0","2512","97.7","97.32","2","18","17","-0.4","6.08","110","153","112","147","302","323","290"
"42",621056,"Hunter Wood","752","5.6","0.286","0.000","0.286","0.286","0.249","0.351","0.320","2","7","84.9","30.2","2504","92.8","91.60","4","18","24","-1.2","5.76","105","153","107","147","285","320","297"
"201",475115,"Tyson Ross","594","33.8","0.313","0.354","0.282","0.667","0.414","0.476","0.361","15","48","90.5","7.3","2498","89.6","88.50","8","90","111","-1.1","5.53","108","150","113","149","296","330","294"
"313",628711,"Julio Urias","1344","23.3","0.221","0.147","0.280","0.368","0.285","0.276","0.215","15","68","87.4","21.8","2496","94.9","93.91","36","146","167","-1.0","5.56","112","156","114","147","298","320","292"
"16",656685,"Brett Martin","1022","1.6","1.000","0.000","1.000","1.000","0.780","0.502","0.289","1","1","88.2","1.0","2493","93.6","94.01","2","6","10","0.4","6.41","111","158","112","142","293","319","296"
"133",543022,"Tyler Chatwood","1285","10.4","0.182","0.182","0.200","0.364","0.348","0.407","0.240","4","22","93.5","21.9","2490","96.3","96.18","11","56","74","-0.1","6.08","111","150","108","154","292","320","299"
"1858",458681,"Lance Lynn","3435","54.1","0.218","0.184","0.287","0.403","0.294","0.301","0.219","90","412","89.4","17.7","2482","94.6","94.77","294","958","894","0.2","6.32","110","155","114","149","293","323","301"
"593",641312,"Shaun Anderson","1584","37.4","0.304","0.174","0.339","0.478","0.351","0.353","0.297","42","138","89.7","10.8","2480","92.3","92.58","44","282","308","0.3","6.25","110","153","111","149","301","327","302"
"1119",477132,"Clayton Kershaw","2575","43.5","0.230","0.212","0.227","0.442","0.315","0.331","0.255","50","217","86.9","20.6","2477","90.3","90.16","87","488","621","-0.1","6.16","112","156","111","145","296","315","292"
"1341",453286,"Max Scherzer","2769","48.4","0.223","0.191","0.304","0.415","0.290","0.293","0.220","63","282","90.6","19.9","2474","94.9","94.22","193","702","634","-0.7","5.97","114","151","111","148","300","314","296"
"501",448179,"Rich Hill","966","51.9","0.229","0.253","0.277","0.482","0.313","0.283","0.199","19","83","91.3","24.1","2474","90.3","90.18","66","225","273","-0.1","6.20","110","155","111","145","294","313","290"
"300",643338,"Chad Green","1276","23.5","0.254","0.203","0.414","0.458","0.341","0.276","0.191","15","59","91.8","18.3","2474","96.8","96.63","50","156","142","-0.2","6.28","111","153","114","150","293","324","292"
"448",656605,"Mitch Keller","753","59.5","0.461","0.258","0.591","0.719","0.499","0.361","0.319","41","89","87.9","16.2","2473","95.4","95.15","43","244","202","-0.2","6.02","110","150","120","149","304","326","299"
"6",543339,"Daniel Hudson","1217","0.5","0.500","0.500","1.000","1.000","0.609","0.640","0.429","1","2","105.9","20.0","2468","95.9","94.87","0","1","4","-1.0","5.95","114","150","108","152","294","316","300"
"13",657624,"Josh James","1132","1.1","0.000","0.000","0.000","0.000","0.000","0.336","0.319","0","2","75.3","23.0","2467","96.9","96.72","0","6","7","-0.2","6.04","117","151","111","147","289","312","300"
"203",608717,"Chris Stratton","1245","16.3","0.333","0.139","0.344","0.472","0.388","0.405","0.330","12","36","90.1","10.9","2466","90.5","90.76","13","89","113","0.3","6.29","106","151","111","146","294","319","295"
"1178",605164,"Dylan Bundy","2778","42.4","0.335","0.310","0.352","0.645","0.427","0.381","0.285","81","242","89.8","25.0","2458","91.1","90.30","106","581","592","-0.8","5.82","106","153","114","147","302","326","299"
"11",608652,"Luke Farrell","212","5.2","0.250","0.500","0.200","0.750","0.306","0.456","0.270","1","4","91.6","26.0","2457","91.6","90.87","0","8","3","-0.7","6.02","115","153","111","147","295","332","310"
"1505",621111,"Walker Buehler","2831","53.2","0.205","0.163","0.256","0.368","0.262","0.287","0.222","63","307","91.3","17.8","2456","96.5","96.81","174","706","791","0.3","6.28","112","157","116","146","296","316","297"
"136",642528,"Jonathan Loaisiga","591","23.0","0.429","0.571","0.429","1.000","0.566","0.528","0.406","9","21","97.1","19.1","2455","96.2","95.91","15","56","80","-0.3","6.15","104","152","111","146","294","325","287"
"73",573186,"Marcus Stroman","3046","2.4","0.455","0.455","0.444","0.909","0.576","0.393","0.337","5","11","86.0","19.9","2455","92.9","91.98","4","29","44","-0.9","5.69","111","153","117","149","299","320","301"
"4",641851,"Kyle McGowin","298","1.3","null","null","null","null","null","null","null","null","null","null","null","2454","92.4","91.95","0","1","3","-0.4","6.15","113","154","113","148","322","324","301"
"738",656546,"Jeff Hoffman","1256","58.8","0.323","0.418","0.287","0.741","0.470","0.478","0.345","51","158","92.3","18.5","2453","93.7","93.69","56","355","378","0.0","6.13","114","151","114","148","308","336","310"
"646",656302,"Dylan Cease","1364","47.4","0.356","0.281","0.419","0.637","0.448","0.395","0.304","48","135","88.6","11.6","2449","96.5","96.08","70","314","330","-0.4","5.88","109","150","113","148","293","323","295"
"241",664062,"Tony Gonsolin","693","34.8","0.255","0.275","0.233","0.529","0.369","0.393","0.284","13","51","90.3","21.6","2447","93.5","92.88","15","115","126","-0.6","5.88","112","162","116","146","300","319","294"
"21",669160,"Dustin May","566","3.7","0.167","0.167","0.333","0.333","0.203","0.310","0.248","1","6","100.2","20.0","2440","95.0","94.82","3","9","12","-0.2","6.26","115","164","131","149","298","317","292"
"140",643478,"Joe Palumbo","333","42.0","0.429","0.429","0.563","0.857","0.559","0.417","0.292","12","28","93.6","19.6","2440","93.8","93.70","18","60","78","-0.1","6.13","107","152","114","147","293","326","305"
"739",593334,"Domingo German","2247","32.9","0.247","0.282","0.234","0.529","0.345","0.362","0.259","43","174","92.7","26.8","2439","93.4","92.74","73","357","377","-0.7","5.93","110","154","114","150","291","324","292"
"39",670970,"Adrian Morejon","154","25.3","0.222","0.222","0.250","0.444","0.375","0.329","0.206","2","9","83.3","16.6","2436","96.3","95.61","3","18","21","-0.7","5.84","107","153","113","147","304","329","299"
"920",519144,"Rick Porcello","2927","31.4","0.270","0.198","0.309","0.468","0.326","0.351","0.261","60","222","91.8","23.5","2434","91.0","90.78","97","518","400","-0.2","6.08","112","151","116","149","282","322","296"
"453",592346,"Chi Chi Gonzalez","1145","39.6","0.235","0.173","0.260","0.408","0.332","0.351","0.257","23","98","87.3","8.6","2428","92.3","91.54","37","204","246","-0.8","5.48","114","152","118","148","309","336","307"
"64",519076,"Jimmy Nelson","407","15.7","0.308","0.308","0.300","0.615","0.464","0.507","0.383","4","13","84.9","16.9","2427","91.6","92.25","6","28","36","0.6","6.39","112","156","108","153","299","316","287"
"1431",592761,"Caleb Smith","2661","53.8","0.210","0.273","0.218","0.483","0.330","0.356","0.230","57","271","91.3","29.6","2425","91.6","89.37","171","681","736","-2.2","5.09","105","153","114","147","302","324","293"
"30",657566,"Montana DuRapau","327","9.2","0.500","0.500","0.500","1.000","0.613","0.490","0.418","3","6","93.4","24.6","2425","92.3","92.84","3","13","17","0.5","6.46","104","148","121","145","303","320","292"
"21",673258,"Michel Baez","521","4.0","0.000","0.000","null","0.000","0.230","0.230","null","0","2","null","null","2424","95.9","94.89","5","11","10","-1.0","5.77","107","149","121","148","302","325","300"
"321",595191,"Jerad Eickhoff","974","33.0","0.328","0.403","0.288","0.731","0.460","0.451","0.305","22","67","92.6","19.9","2424","89.3","89.31","20","136","181","0.0","6.33","112","152","115","150","300","325","295"
"539",642547,"Freddy Peralta","1599","33.7","0.328","0.264","0.388","0.592","0.406","0.354","0.266","41","125","90.9","20.9","2421","92.4","93.68","73","281","252","1.3","6.97","108","152","113","152","298","318","290"
"278",593423,"Frankie Montas","1485","18.7","0.250","0.192","0.316","0.442","0.327","0.324","0.236","13","52","91.5","26.0","2421","96.8","95.26","30","137","141","-1.5","5.54","109","149","122","150","297","320","296"
"985",605397,"Joe Musgrove","2654","37.1","0.304","0.240","0.305","0.544","0.376","0.384","0.299","62","204","90.7","17.1","2418","92.7","92.02","74","485","492","-0.7","5.70","111","150","119","148","305","326","299"
"676",519141,"Drew Pomeranz","1942","34.8","0.248","0.281","0.284","0.529","0.365","0.348","0.233","38","153","89.7","23.3","2418","92.0","90.01","81","337","336","-2.0","5.08","107","149","113","147","298","323","295"
